gradeSystem,discipline,rawGrade,systemOrder,difficultyScore,confidence,note
YDS,GYM,3rd,-3.0,19.0,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,4th,-2.0,19.0,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,Easy 5th,-1.0,19.0,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.0,0.0,19.0,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.1,1.0,21.03,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.2,2.0,23.06,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.3,3.0,25.09,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.4,4.0,27.12,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.5,5.0,29.15,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.6,6.0,31.18,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.7,7.0,33.21,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.7+,7.3,33.88,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.8-,7.7,34.56,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.8,8.0,35.24,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.8+,8.3,35.91,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.9-,8.7,36.57,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.9,9.0,37.19,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.9+,9.3,37.81,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.10a,10.0,39.06,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.10-,10.0,39.06,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.10a/b,10.125,40.0,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.10b,10.25,40.78,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.10b/c,10.375,41.56,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.10,10.375,41.56,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.10c,10.5,42.34,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.10c/d,10.625,43.13,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.10+,10.625,43.13,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.10d,10.75,43.91,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.11a,11.0,45.47,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.11-,11.0,45.47,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.11a/b,11.125,46.25,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.11b,11.25,47.68,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.11b/c,11.375,49.11,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.11,11.375,49.11,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.11c,11.5,50.54,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.11c/d,11.625,51.96,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.11+,11.625,51.96,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.11d,11.75,53.39,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.12a,12.0,56.25,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.12-,12.0,56.25,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.12a/b,12.125,57.5,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.12b,12.25,58.75,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.12b/c,12.375,60.0,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.12,12.375,60.0,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.12c,12.5,61.25,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.12c/d,12.625,62.5,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.12+,12.625,62.5,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.12d,12.75,63.75,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.13a,13.0,66.8,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.13-,13.0,66.8,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.13a/b,13.125,68.6,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.13b,13.25,70.4,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.13b/c,13.375,72.2,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.13,13.375,72.2,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.13c,13.5,74.0,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.13c/d,13.625,76.5,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.13+,13.625,76.5,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.13d,13.75,79.0,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.14a,14.0,84.0,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.14-,14.0,84.0,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.14a/b,14.125,86.5,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.14b,14.25,89.0,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.14b/c,14.375,90.75,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.14,14.375,90.75,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.14c,14.5,92.5,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.14c/d,14.625,94.25,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.14+,14.625,94.25,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.14d,14.75,96.0,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.15a,15.0,97.75,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.15-,15.0,97.75,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.15a/b,15.125,98.63,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
